(387,-434,-93)
(396,-442,-81)
(398,-440,-93)
(395,-432,-78)
(387,-436,-73)
(392,-441,-87)
(392,-444,-81)
(395,-436,-76)
(394,-442,-85)
(386,-440,-80)
(397,-443,-79)
(377,-437,-83)
(397,-442,-90)
(389,-439,-99)
(394,-437,-83)
(407,-442,-91)
(388,-435,-89)
(393,-439,-89)
(386,-447,-91)
(401,-442,-87)
(388,-447,-88)
(401,-437,-93)
(389,-440,-85)
(387,-448,-99)
(394,-445,-95)
(380,-441,-84)
(394,-444,-96)
(397,-442,-92)
(402,-444,-93)
(395,-440,-93)
(389,-432,-99)
(391,-442,-85)
(402,-434,-91)
(395,-436,-95)
(388,-436,-88)
(399,-437,-88)
(394,-432,-82)
(397,-437,-85)
(398,-426,-83)
(401,-436,-90)
(407,-434,-76)
(398,-437,-81)
(411,-429,-85)
(409,-424,-81)
(400,-416,-85)
(409,-415,-82)
(409,-417,-81)
(410,-420,-80)
(412,-409,-83)
(404,-409,-72)
(407,-405,-77)
(411,-413,-66)
(422,-405,-81)
(406,-395,-65)
(418,-394,-73)
(415,-402,-75)
(413,-396,-67)
(419,-376,-84)
(419,-374,-72)
(427,-383,-75)
(430,-373,-78)
(427,-378,-77)
(425,-364,-76)
(432,-360,-82)
(432,-362,-91)
(429,-350,-80)
(433,-343,-94)
(441,-338,-91)
(443,-341,-100)
(445,-333,-99)
(450,-338,-104)
(436,-328,-108)
(441,-321,-118)
(454,-323,-108)
(446,-322,-115)
(443,-314,-117)
(449,-313,-118)
(450,-304,-122)
(440,-314,-131)
(448,-297,-129)
(441,-299,-136)
(433,-298,-133)
(453,-297,-144)
(446,-297,-143)
(444,-293,-148)
(447,-288,-162)
(446,-281,-154)
(436,-287,-160)
(444,-280,-160)
(438,-279,-158)
(445,-281,-166)
(441,-278,-170)
(430,-277,-183)
(429,-278,-191)
(436,-268,-178)
(441,-277,-187)
(430,-287,-179)
(430,-275,-189)
(440,-271,-195)
(438,-279,-192)
(433,-289,-209)
(424,-279,-209)
(425,-292,-210)
(425,-296,-216)
(418,-286,-216)
(418,-293,-207)
(415,-303,-216)
(413,-302,-224)
(418,-318,-217)
(421,-298,-211)
(412,-309,-214)
(413,-314,-219)
(408,-317,-225)
(406,-320,-219)
(401,-324,-233)
(402,-327,-228)
(405,-335,-229)
(397,-340,-229)
(403,-340,-221)
(384,-349,-224)
(392,-358,-220)
(392,-354,-229)
(391,-356,-224)
(381,-366,-215)
(383,-377,-215)
(383,-375,-213)
(370,-389,-217)
(373,-377,-208)
(370,-389,-214)
(366,-398,-210)
(378,-404,-219)
(369,-407,-209)
(364,-411,-210)
(367,-417,-212)
(359,-416,-203)
(371,-420,-198)
(363,-417,-194)
(355,-427,-190)
(361,-426,-193)
(361,-424,-185)
(352,-427,-183)
(354,-437,-177)
(359,-430,-175)
(357,-438,-173)
(369,-435,-176)
(368,-430,-165)
(361,-433,-163)
(365,-432,-169)
(360,-432,-151)
(368,-435,-153)
(356,-425,-142)
(369,-428,-141)
(355,-424,-146)
(363,-430,-135)
(367,-427,-148)
(374,-431,-136)
(366,-419,-134)
(386,-429,-133)
(380,-420,-123)
(379,-424,-124)
(380,-409,-125)
(373,-418,-127)
(377,-405,-120)
(383,-409,-129)
(378,-404,-112)
(381,-395,-115)
(385,-403,-119)
(391,-395,-109)
(394,-392,-115)
(396,-397,-115)
(392,-390,-110)
(393,-385,-106)
(389,-380,-110)
(398,-389,-112)
(387,-378,-112)
(394,-377,-109)
(408,-374,-99)
(396,-371,-97)
(402,-372,-100)
(404,-375,-100)
(392,-374,-83)
(405,-374,-97)
(400,-375,-100)
(402,-377,-94)
(406,-368,-84)
(409,-358,-91)
(396,-366,-88)
(411,-365,-85)
(393,-369,-83)
(397,-364,-89)
(402,-372,-90)
(391,-364,-85)
(404,-376,-97)
