(462,-31,-390)
(459,-16,-394)
(454,-17,-390)
(474,-32,-388)
(460,-22,-390)
(459,-17,-386)
(465,-26,-390)
(463,-28,-382)
(466,-29,-384)
(470,-25,-381)
(462,-34,-377)
(473,-27,-379)
(462,-22,-368)
(479,-26,-363)
(467,-21,-364)
(475,-22,-364)
(484,-34,-354)
(481,-27,-351)
(482,-28,-345)
(494,-34,-329)
(490,-36,-334)
(499,-38,-317)
(502,-30,-313)
(509,-45,-290)
(510,-39,-289)
(504,-40,-272)
(512,-41,-272)
(516,-46,-267)
(519,-38,-246)
(528,-45,-231)
(527,-50,-231)
(529,-50,-212)
(527,-45,-199)
(542,-44,-182)
(529,-39,-171)
(543,-45,-163)
(535,-39,-148)
(550,-43,-145)
(548,-49,-124)
(548,-39,-101)
(548,-47,-94)
(563,-41,-81)
(558,-43,-64)
(548,-47,-41)
(560,-41,-25)
(550,-46,-13)
(551,-42,-1)
(549,-41,21)
(550,-31,39)
(551,-37,57)
(552,-39,70)
(542,-41,74)
(544,-39,89)
(544,-32,108)
(542,-31,124)
(535,-26,133)
(526,-36,154)
(531,-23,172)
(521,-27,180)
(525,-24,199)
(509,-30,199)
(516,-29,221)
(501,-23,238)
(507,-21,247)
(510,-7,261)
(488,-16,273)
(487,-10,277)
(486,-13,292)
(480,-5,289)
(470,-15,314)
(471,-19,318)
(462,2,323)
(454,-2,351)
(462,0,351)
(452,2,364)
(432,-8,362)
(449,1,377)
(438,0,381)
(432,7,386)
(433,6,392)
(414,9,395)
(417,1,404)
(407,20,420)
(400,11,435)
(404,8,433)
(406,15,427)
(392,14,442)
(385,7,454)
(388,12,444)
(375,10,457)
(379,15,463)
(367,22,468)
(377,17,464)
(377,13,472)
(364,21,483)
(364,19,488)
(357,20,492)
(363,27,488)
(357,21,489)
(349,23,504)
(352,20,498)
(354,18,490)
(359,19,484)
(344,19,501)
(357,21,502)
(347,19,505)
(360,24,498)
(349,19,493)
(358,24,506)
(356,21,503)
(342,20,506)
(364,16,499)
(370,31,494)
(360,21,499)
(368,29,498)
(367,29,495)
(371,19,497)
(368,24,493)
(377,12,504)
(380,14,489)
(371,19,485)
(382,11,492)
(389,16,483)
(386,15,481)
(392,9,484)
(401,8,477)
(401,12,474)
(414,13,462)
(413,8,469)
(404,7,468)
(418,18,456)
(425,1,458)
(427,0,449)
(427,11,450)
(428,4,438)
(433,-5,437)
(429,-2,440)
(443,0,433)
(444,-5,421)
(448,0,423)
(447,-7,411)
(455,-8,416)
(462,-6,404)
(464,-3,395)
(476,-6,395)
(473,-8,382)
(470,-13,379)
(475,-15,369)
(476,-24,373)
(488,-16,364)
(493,-18,358)
(495,-13,346)
(505,-22,336)
(513,-19,333)
(516,-26,323)
(522,-25,314)
(522,-26,312)
(524,-29,296)
(532,-29,283)
(533,-32,283)
(534,-33,263)
(531,-22,255)
(546,-38,249)
(542,-38,239)
(554,-32,229)
(549,-37,222)
(550,-43,203)
(563,-42,199)
(564,-36,195)
(569,-45,180)
(567,-36,168)
(570,-37,155)
(578,-39,142)
(563,-51,132)
(572,-46,121)
(575,-59,105)
(575,-47,89)
(585,-53,86)
(579,-52,74)
(579,-43,65)
(580,-41,53)
(579,-51,34)
(582,-39,31)
(587,-32,22)
(583,-37,18)
(585,-42,-10)
(577,-48,-26)
(590,-40,-40)
(589,-44,-42)
(587,-51,-48)
(584,-43,-70)
(580,-49,-74)
(575,-53,-86)
(579,-44,-92)
(572,-41,-103)
(567,-41,-109)
(568,-43,-127)
(571,-34,-130)
(567,-44,-152)
(569,-36,-155)
(561,-30,-169)
(568,-47,-170)
(561,-34,-174)
(556,-40,-196)
(561,-41,-200)
(554,-42,-214)
(551,-45,-207)
(553,-36,-229)
(545,-40,-232)
(546,-47,-249)
(547,-36,-244)
(539,-33,-257)
(536,-33,-270)
(531,-35,-278)
(532,-36,-273)
(531,-42,-286)
(520,-31,-294)
(523,-36,-301)
(519,-30,-312)
(513,-26,-319)
(512,-34,-325)
(520,-17,-327)
(511,-33,-329)
(503,-31,-336)
(500,-31,-342)
(491,-34,-341)
(488,-34,-353)
(489,-36,-363)
(487,-37,-372)
(488,-23,-382)
(483,-29,-384)
(483,-29,-386)
(469,-26,-382)
(470,-31,-377)
(468,-30,-390)
(471,-37,-385)
(466,-30,-395)
(466,-42,-395)
(469,-37,-394)
(460,-30,-392)
(459,-38,-399)
(459,-30,-396)
(471,-34,-399)
(463,-28,-410)
(463,-31,-394)
(456,-30,-385)
(459,-37,-395)
(463,-32,-400)
(458,-38,-389)
